Pop,Sertanejo,Funk,Rock,Bandinha,Pisadinha,Eletrônica,Grime,K-Pop,Trap,Hip-Hop,House,Folk,MPB,Lo-Fi,Indie,Compas,Bossa Nova,Samba,Pagode,Gauchesca,Dubstep,Brega,Reggae,Metal,Reggaeton,Clássica,FPS,Mundo Aberto,Guerra,MOBA,Estratégia,Corrida,Battle Royale,Survival,Simulação,Esporte,Arcade,RPG,Plataforma,Vestir,Cartas,Tabuleiro,Luta,Azar,MMORPG,Puzzle,Hack and slash,Rítmico,Point and click,Furtivo,Realidade Virtual,Nome
0.78,0.22,0.22,1.0,0.78,0.11,0.56,0.0,0.0,0.11,0.22,0.22,0.33,0.22,0.56,0.56,-0.0,0.22,0.22,0.22,0.44,0.0,0.0,0.22,0.67,0.11,0.56,0.89,0.89,0.56,0.11,0.56,0.33,0.22,0.89,0.67,0.22,0.56,0.78,0.56,0.0,0.33,0.33,0.33,0.0,0.11,0.78,0.33,0.11,0.22,0.11,0.0,Centro 0
1.0,0.75,1.0,1.0,0.75,0.75,0.75,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.25,0.75,0.5,0.0,0.5,0.25,0.5,1.0,0.5,0.25,0.0,0.25,0.0,0.0,0.75,0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.0,1.0,1.0,0.25,0.5,0.0,0.75,0.0,0.0,0.0,0.0,0.25,Centro 1
0.73,1.0,0.55,0.73,0.73,0.45,1.0,0.09,0.0,0.55,0.73,0.45,0.18,0.27,0.36,0.18,-0.0,0.09,0.36,0.64,0.82,0.27,0.09,0.18,0.18,0.73,0.18,1.0,0.91,0.82,0.09,0.45,0.82,0.82,0.73,0.64,0.91,0.45,0.09,-0.0,-0.0,0.64,0.55,0.36,0.36,0.36,-0.0,0.09,-0.0,0.09,0.18,0.09,Centro 2
1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,0.0,0.5,0.0,1.0,0.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,Centro 3
0.8,0.2,0.4,1.0,0.6,0.0,0.2,0.0,0.2,0.2,0.4,0.2,0.6,0.4,-0.0,0.8,-0.0,0.2,0.2,0.2,0.4,0.0,0.2,0.4,0.8,0.0,0.4,0.6,0.4,0.0,0.8,1.0,0.6,0.0,0.2,0.4,0.2,-0.0,1.0,0.0,0.0,0.4,0.6,-0.0,0.2,0.8,0.4,0.2,0.2,-0.0,-0.0,0.0,Centro 4
1.0,0.25,0.25,1.0,0.5,0.0,1.0,0.0,0.25,0.5,0.75,0.0,0.75,1.0,0.75,0.75,0.0,0.5,0.75,0.75,0.75,0.25,0.25,0.75,0.75,0.5,1.0,1.0,1.0,0.75,0.5,1.0,1.0,0.75,1.0,1.0,0.75,1.0,1.0,0.75,0.0,1.0,1.0,1.0,0.75,1.0,0.75,1.0,1.0,1.0,0.75,0.25,Centro 5
1.0,0.33,0.67,0.0,0.0,0.0,0.33,0.0,0.33,0.33,1.0,0.0,0.67,0.0,0.0,0.0,1.0,0.0,0.67,0.0,0.0,0.0,0.0,1.0,0.33,0.67,0.67,0.0,0.33,0.33,0.0,1.0,1.0,0.33,0.0,0.33,0.67,0.33,0.0,0.0,0.0,0.67,0.67,0.67,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.33,Centro 6
